questionNumber,type,dateModified,categoryPath,learningPointNumbers,sectionLetter,stem,question,option1,option2,option3,option4,option5,explanation1,explanation2,explanation3,explanation4,explanation5,correctOption
73,,,,296,b,"<p>His full blood count is shown below:&nbsp;</p>
<table>
<tbody>
<tr>
<td>
<p>Haemoglobin&nbsp;</p>
</td>
<td>
<p><strong>68 g/L&nbsp;</strong></p>
</td>
<td>
<p>135 - 180g/L</p>
</td>
</tr>
<tr>
<td>
<p>MCV</p>
</td>
<td>
<p>88fL</p>
</td>
<td>
<p>83 - 100fL</p>
</td>
</tr>
<tr>
<td>
<p>Platelets</p>
</td>
<td>
<p><strong>48 x10<sup>9</sup>/L&nbsp;</strong></p>
</td>
<td>
<p>150 - 450 x10<sup>9</sup>/L</p>
</td>
</tr>
<tr>
<td>
<p>White cell count</p>
</td>
<td>
<p><strong>120 x10<sup>9</sup>/L</strong></p>
</td>
<td>
<p>4 - 11 x10<sup>9</sup>/L</p>
</td>
</tr>
<tr>
<td>
<p>Neutrophils&nbsp;</p>
</td>
<td>
<p><strong>0.5 x10<sup>9</sup>/L&nbsp;</strong></p>
</td>
<td>
<p>2 - 7 x10<sup>9</sup>/L</p>
</td>
</tr>
<tr>
<td>
<p>Lymphocytes&nbsp;</p>
</td>
<td>
<p><strong>0.8 x10<sup>9</sup>/L</strong></p>
</td>
<td>
<p>1 - 3 x10<sup>9</sup>/L</p>
</td>
</tr>
</tbody>
</table>
<p>&nbsp;</p>",Which of the findings in his blood film would be specific to acute myeloid leukaemia?,Hypersegmented neutrophils,Increased blast count,Auer rods,Heinz bodies,Howell-Jolly bodies,Incorrect. This is often seen in megaloblastic anaemias such as b12 and folate deficiencies.,"Incorrect. Both AML and ALL have an increased blast count. As such, this is not specific to AML.",Correct. Auer rods are inclusion bodies made of the crystallised myeloperoxidase granules. This is absent in leukaemic lymphoblasts but present in most leukaemic myeloblasts.,Incorrect. This is often found in G6PD deficiency but not AML.,Incorrect. This is often seen in hyposplenism but not AML.,3
73,,,,296,c,"His blood film shows an increased blast count as well as Auer rods. As part of his diagnostic investigations, a bone marrow biopsy is conducted.",Which of the following findings would be diagnostic for AML?,Blasts accounting for 5-20% of the bone marrow and staining is positive for myeloperoxidase,Blasts accounting for >20% of the bone marrow and is TDT positive,>10% of the bone marrow made up of plasma cells,Blasts accounting for >20% of the bone marrow and is TDT negative,Fibrosis of the bone marrow ,"Incorrect. This is the finding for myelodysplasia. Although myeloperoxidase was positive, WHO states that at least 20% of all nucleated cells in the bone marrow must be accounted for by blasts of myeloid origin for a diagnosis of AML to be made.","Incorrect. This is the finding for ALL, which stains positive for TDT and negative for myeloperoxidase. WHO state that at least 20% of all nucleated cells in the bone marrow must be accounted for by blasts of myeloid origin, which are TDT negative and myeloperoxidase positive for a diagnosis of AML to be made.",Incorrect. This is the finding for multiple myeloma.,"Correct. WHO state that at least 20% of all nucleated cells in the bone marrow must be accounted for by blasts of myeloid origin, which are TDT negative and myeloperoxidase positive for a diagnosis of AML to be made.",Incorrect. This is the finding for myelofibrosis.,4
73,,,,"294,297",d,,Which of the following is not a risk factor for this patient?,His age,His sex,History of myelodysplasia,History of T2DM,His previous occupation,"Incorrect. Older age (>65 years old) is a risk factor for AML. It is the most common acute leukaemia in adults, with risk of occurrence increasing with age, and typically diagnosed at age 67.","Incorrect. After the age of 55, males tend to be more affected than females.",Incorrect. Myeloproliferative conditions such as myelodysplasia are a big risk factor for AML.,"Correct. Although associated with a poorer prognosis, T2DM does not increase the risk of developing AML.","Incorrect. Exposure to benzene is a risk factor for AML. Benzene can be found in paints, thinners, glues, and industrial solvents. It is likely he had exposure to this while working as a painter.",4
73,,,,"260,261",e,"<p>He is diagnosed with AML and commences chemotherapy treatment. At the moment, he is haemodynamically stable. His FBC is shown below:</p>
<table>
<tbody>
<tr>
<td>
<p>Haemoglobin&nbsp;</p>
</td>
<td>
<p><strong>64g/L&nbsp;</strong></p>
</td>
<td>
<p>135 - 180g/L</p>
</td>
</tr>
<tr>
<td>
<p>MCV</p>
</td>
<td>
<p>88fL</p>
</td>
<td>
<p>83 - 100fL</p>
</td>
</tr>
<tr>
<td>
<p>Platelets</p>
</td>
<td>
<p><strong>48 x10<sup>9</sup>/L&nbsp;</strong></p>
</td>
<td>
<p>150 - 450 x10<sup>9</sup>/L</p>
</td>
</tr>
<tr>
<td>
<p>White cell count</p>
</td>
<td>
<p><strong>120 x10<sup>9</sup>/L&nbsp;</strong></p>
</td>
<td>
<p>4 - 11 x10<sup>9</sup>/L</p>
</td>
</tr>
<tr>
<td>
<p>Neutrophils&nbsp;</p>
</td>
<td>
<p><strong>0.5 x10<sup>9</sup>/L&nbsp;</strong></p>
</td>
<td>
<p>2 - 7 x10<sup>9</sup>/L</p>
</td>
</tr>
<tr>
<td>
<p>Lymphocytes&nbsp;</p>
</td>
<td>
<p><strong>0.8 x10<sup>9</sup>/L&nbsp;</strong></p>
</td>
<td>
<p>1 - 3 x10<sup>9</sup>/L</p>
</td>
</tr>
</tbody>
</table>",Which of the following is unlikely to form part of his supportive management?,Packed red cell transfusion,Platelet transfusion,Rasburicase,Prophylactic antibiotics,IV fluids,"Incorrect. This patient has symptomatic anaemia and has a haemoglobin level &lt;70g/L. As such, they are likely to need a packed red cell transfusion to increase the serum haemoglobin. It is important to note that he will require irradiated blood.","Correct. There is no evidence in his history that suggests he is currently bleeding. As such, prophylactic platelet transfusions are not necessary. Prophylactic platelet transfusions may be considered if he was bleeding significantly, or if his platelet count dropped to &lt;10 x10^9/L.","Incorrect. In those undergoing chemotherapy for any haematological malignancy, rasburicase  is often given as prophylaxis against tumour lysis syndrome.","Incorrect. This patient is neutropenic so is susceptible to severe and life-threatening and opportunistic infections. As such, both prophylactic antibiotics and antifungals may be used.",Incorrect. Proper hydration is key to the supportive aspect of treating any malignancy. Prompt correction of electrolytes as well as avoiding dehydration to preserve renal function form part of the supportive treatment.,2
73,,,,"298,299",f,"Following chemotherapy, the patient is determined to be in remission.",Which of the following treatment options will help him restore haematopoiesis?,Repeated blood transfusions,Erythropoietin injections,Eltrombopag,Stem cell transplant,Granulocyte colony stimulating factor,"Incorrect. Repeated blood transfusions may help to increase haemoglobin levels but will not restore normal haematopoiesis. The process of chemotherapy leads to severe bone marrow suppression due to destruction of the bone marrow. As such, a stem cell transplant to replace the bone marrow helps to restore normal haematopoiesis.","Incorrect. EPO acts on the stem cells of the bone marrow to stimulate erythropoiesis. However, the process of chemotherapy leads to severe bone marrow suppression due to destruction of the bone marrow. As such, a stem cell transplant to replace the bone marrow helps to restore normal haematopoiesis.","Incorrect. Eltrombopag is a thrombopoietin receptor agonist which stimulates thrombopoiesis. However, the process of chemotherapy leads to severe bone marrow suppression due to destruction of the bone marrow. As such, a stem cell transplant to replace the bone marrow helps to restore normal haematopoiesis.","Correct. The process of chemotherapy leads to severe bone marrow suppression due to destruction of the bone marrow. As such, a stem cell transplant to replace the bone marrow helps to restore normal haematopoiesis.","Incorrect. G-CSF stimulates the bone marrow to form granulocytes such as neutrophils. However, the process of chemotherapy leads to severe bone marrow suppression due to destruction of the bone marrow. As such, a stem cell transplant to replace the bone marrow helps to restore normal haematopoiesis.",4
73,,,,300,g,"<p>As part of his overall treatment, the patient receives a packed red cell transfusion as well as prophylactic rasburicase. A bone marrow transplant is also performed to restore haematopoiesis.&nbsp;</p>
<p>3 weeks later, he presents with bloody diarrhoea, and a vesicular pruritic rash which has appeared on the palms of his hands and soles of his feet. This is accompanied by a fever and abdominal pain. As part of his investigations, a liver function test is carried out which is suggestive of cholestatic jaundice.</p>","Given the most likely diagnosis, what is the mechanism of the complication which has developed?",Rapid cell lysis leading to electrolyte abnormalities,HLA mismatch of stem cells,ABO mismatched blood transfusion,Immunological destruction of platelets,Donor’s anti-HLA antibodies priming host neutrophils,"Incorrect. This is the mechanism of tumour lysis syndrome. This complication usually occurs while receiving chemotherapy and is characterised by electrolyte abnormalities such as hyperkalaemia, hyperphosphatemia, hyperuricemia, and hypocalcaemia. In this case, TLS is unlikely as rasburicase had been administered prophylactically.","Correct. The diagnosis here is GVHD. This is especially the case as the patient is immunosuppressed. Patients are HLA matched at diagnosis to avoid this complication from developing. If there is an HLA mismatch in an immunosuppressed patient, the donor stem cells may differentiate into T lymphocytes and mount an immune attack against the host. GVHD typically affects the skin, GI tract, and liver, leading to this patient’s presentation.","Incorrect. An ABO mismatch would present much more acutely with features of shock, abdominal pain and loin pain. The timeline of his presentation, as well as the history of a bone marrow transplant in an immunosuppressed patient makes GVHD the most likely complication.",Incorrect. This is the mechanism of post transfusion purpura. The history of a bone marrow transplant in an immunosuppressed patient makes GVHD the most likely complication.,"Incorrect. This is the mechanism of transfusion related acute lung injury (TRALI), an acute transfusion reaction characterised by lung injury and noncardiogenic pulmonary oedema. The history of a bone marrow transplant in an immunosuppressed patient makes GVHD the most likely complication.",2
74,awaiting,12/01/2022,Haematology,"295,301",a,"<p>A 31-year-old man is brought into A&amp;E with an ongoing nosebleed for the last 20 minutes, and bleeding from his gums. He explains that over the last few weeks, he has been becoming more fatigued and dyspnoeic on exertion. He has had 3 very high fevers in the last week but he is unsure of why. As well as this, he had been experiencing frequent nosebleeds.&nbsp;</p>
<p>On examination, he appears pale and has scleral icterus. A purpuric rash can be visualised on his arms and legs. His blood pressure is 120/90mmHg, his pulse is 89bpm and his oxygen saturations are 99%. A full blood count reveals a marked leukocytosis with anaemia, neutropenia, and thrombocytopenia. His blood film is shown below:</p>",What is the most likely diagnosis?,Acute lymphoblastic leukaemia,Chronic lymphocytic leukaemia,Acute myeloid (monocytic) leukaemia,Acute promyelocytic leukaemia,Chronic myeloid leukaemia,"Incorrect. It is very difficult to distinguish between AML and ALL on clinical features and history alone as both can have similar presentations. As such, investigations are required to distinguish between the two. In this case, the blood film shows the presence of Auer rods so the most likely diagnosis is acute myeloid leukaemia. Based on the patient’s age as well as presentation with features of DIC, APML is the most likely diagnosis.","Incorrect. CLL usually presents with recurrent infections in elderly patients. Many cases are asymptomatic. Blood film typically shows smear cells, which are absent here. In this case, the blood film shows the presence of Auer rods so the most likely diagnosis is acute myeloid leukaemia. Based on the patient’s age as well as presentation with features of DIC, APML is the most likely diagnosis.","Incorrect. Acute myeloid leukaemia (monocytic type) may also present similarly. However, in most types of AML, the peak incidence is at 67 years old (older adults). The presence of DIC features in a young adult makes the diagnosis of APML more likely than monocytic leukaemia. In acute monocytic leukaemia, a characteristic feature is gingival hypertrophy due to monocytic invasion.","Correct. The presence of Auer rods on the blood film confirms AML. The age of the patient, as well as features consistent with DIC, suggest APML is the most likely diagnosis.","Incorrect. CML presents far more insidiously with features of anaemia, thrombocytopenia, and leukopenia. It also occurs more commonly in the elderly. In this case, the age of the patient as well as features consistent with DIC, suggest APML is the most likely diagnosis.",4
74,,,,302,b,"As part of his initial blood tests, a coagulation screen is performed.",What is likely to be found on the patient’s blood results?,"Low fibrinogen, prolonged PT, prolonged APTT","Normal fibrinogen, prolonged PT, prolonged APTT","Normal fibrinogen, normal PT, prolonged APTT","Low fibrinogen, prolonged PT, normal APTT","Low fibrinogen, normal PT, normal APTT","Correct. APML leads to a build-up of promyelocytes, increasing the coagulability of blood and the likelihood of uncontrolled clot formation. The uncontrolled clot formation depletes all clotting factors. The depletion of the extrinsic clotting factors leads to a prolonged PT. The depletion of the intrinsic clotting factors leads to a prolonged APTT. Since the cascade is highly active and produces high levels of fibrin, serum fibrinogen decreases.",Incorrect. This would be the typical finding of warfarin overuse.,Incorrect. This would be the typical finding of haemophilia.,"Incorrect. DIC classically has prolonged PT, APTT and low fibrinogen.","Incorrect. DIC classically has prolonged PT, APTT and low fibrinogen.",1
74,,,,301,c,,Which of the following is likely to be found on cytogenetic analysis?,t(12;21),t(9;22),t(15;17),t(14;18),t(11;14),"Incorrect. This is the most common translocation in children with ALL. 95% of APML cases are characterised by the translocation between chromosomes 15 and 17, leading to the formation of the defective PML/RARA fusion gene and dysfunction of the retinoic acid receptor. This prevents myeloid progenitor cell differentiation and leads to an accumulation of promyelocytes.","Incorrect. This is the Philadelphia chromosome, and most commonly associated with CML. 95% of APML cases are characterised by the translocation between chromosomes 15 and 17, leading to the formation of the defective PML/RARA fusion gene and dysfunction of the retinoic acid receptor. This prevents myeloid progenitor cell differentiation and leads to an accumulation of promyelocytes.","Correct. 95% of APML cases are characterised by the translocation between chromosomes 15 and 17, leading to the formation of the defective PML/RARA fusion gene and dysfunction of the retinoic acid receptor. This prevents myeloid progenitor cell differentiation and leads to an accumulation of promyelocytes.","Incorrect. This is a translocation often seen in non-Hodgkin lymphoma (most commonly in follicular lymphoma). 95% of APML cases are characterised by the translocation between chromosomes 15 and 17, leading to the formation of the defective PML/RARA fusion gene and dysfunction of the retinoic acid receptor. This prevents myeloid progenitor cell differentiation and leads to an accumulation of promyelocytes.","Incorrect. This is commonly seen in multiple myeloma. 95% of APML cases are characterised by the translocation between chromosomes 15 and 17, leading to the formation of the defective PML/RARA fusion gene and dysfunction of the retinoic acid receptor. This prevents myeloid progenitor cell differentiation and leads to an accumulation of promyelocytes.",3
74,,,,303,d,,"Alongside chemotherapy, which other agent may be used in the treatment of acute promyelocytic leukaemia?",All-trans retinoic acid (ATRA),Imatinib,Rituximab,Folic acid,Ascorbic acid,"Correct. All-trans retinoic acid binds to the dysfunctional retinoic acid receptors, allowing the normal maturation of promyelocytes into neutrophils. As such, it helps to reduce the blast count in the blood. Due to the fewer blasts in the blood and the treatment of its underlying cause, this helps cease DIC.",Incorrect. Imatinib is a tyrosine kinase inhibitor and is most commonly used in CML. APML is treated with all-trans retinoic acid (ATRA) alongside chemotherapy.,"Incorrect. Rituximab is a monoclonal antibody against CD20 receptors on B cells. It leads to B cell depletion and further immunosuppression. As such, it is not used in acute leukaemia. APML is responsive to treatment with all-trans retinoic acid (ATRA) alongside chemotherapy.","Incorrect. Folic acid does not treat the underlying problem which is the failure of promyelocytic maturation due to a dysfunctional retinoic acid receptor. The treatment used in APML, alongside chemotherapy, is all-trans retinoic acid.","Incorrect. This is vitamin C. It does not treat the underlying problem which is the failure of promyelocytic maturation due to a dysfunctional retinoic acid receptor. The treatment of APML, alongside chemotherapy, is all-trans retinoic acid.",1
75,active,13/01/2022,Haematology,255,a,"<p>A 3-year-old boy with Down's syndrome is brought into the GP due to not being himself. His parents explain that he is usually a very energetic boy. However, over the last 3 weeks, he has been becoming more fatigued. He has also experienced several nosebleeds and has frequently run a temperature.</p>
<p>Examination reveals a pale child with no rashes. He has a clear chest but abdominal palpation reveals a mass in the left upper quadrant. </p>",What is the next step in management?,Order a routine abdominal ultrasound,Order a very urgent full blood count (within 48 hours),Refer immediately to hospital,Routine referral to haematology,Order a routine full blood count,"Incorrect. An abdominal ultrasound may be performed as part of the investigations in the hospital. However, this is a child with unexplained splenomegaly and signs of leukopenia and anaemia, which should significantly raise the suspicion of acute leukaemia. NICE recommend any child who presents with unexplained bruising or hepatosplenomegaly should be referred immediately for same day admission and specialist review.","Incorrect. This would be appropriate in an adult with a similar presentation. However, this is a child with unexplained splenomegaly and signs of leukopenia and anaemia, which should raise the suspicion of acute leukaemia. NICE recommend any child who presents with unexplained bruising or hepatosplenomegaly should be referred immediately for same day admission and specialist review.","Correct. The age of 4 years old, combined with features of anaemia, leukopenia and splenomegaly makes acute leukaemia the most likely diagnosis. NICE recommend any child who presents with unexplained bruising or hepatosplenomegaly should be referred immediately for same day admission and specialist review.","Incorrect. A child with unexplained splenomegaly and signs of leukopenia and anaemia should significantly raise suspicion of acute leukaemia. As such, it would be inappropriate to refer routinely as this can take a long time. NICE recommend any child who presents with unexplained bruising or hepatosplenomegaly should be referred immediately for same day admission and specialist review.","Incorrect. A child with unexplained splenomegaly and signs of leukopenia and anaemia should significantly raise the suspicion of acute leukaemia. As such, it would be inappropriate to order a routine FBC as this can take a long time. NICE recommend any child who presents with unexplained bruising or hepatosplenomegaly should be referred immediately for same day admission and specialist review.",3
75,,,,"296,304",b,"He is admitted to hospital. His FBC shows leukocytosis, anaemia, thrombocytopenia, and leukopenia. A diagnostic bone marrow biopsy is carried out.",What is the most likely finding? ,Blasts accounting for 5-20% of the bone marrow staining positive for myeloperoxidase,Blasts accounting for >20% of the bone marrow and is TDT negative,Blasts accounting for >20% of the bone marrow and is TDT positive,>10% of the bone marrow made up of plasma cells,Fibrosis of the bone marrow ,"Incorrect. This is the finding for myelodysplasia. WHO states that at least 20% of all nucleated cells in the bone marrow must be accounted for by blasts of myeloid origin for a diagnosis of AML. This typically presents in older adults, not children.","Correct. WHO states that at least 20% of all nucleated cells in the bone marrow must be accounted for by blasts of myeloid origin, which are TDT negative and myeloperoxidase positive, for a diagnosis of AML. In most cases, children with this cluster of symptoms will have ALL. The exception is the presence of Down’s syndrome. In children with Down’s syndrome, those under the age of 5 typically develop AML (more specifically, acute megakaryoblastic leukaemia). Those over the age of 5 with this presentation typically have ALL.","Incorrect. This is the finding for ALL, which stains positive for TDT. In most cases, children with this cluster of symptoms will have ALL. The exception is the presence of Down’s syndrome. In children with Down’s syndrome, those under the age of 5 typically develop AML (more specifically acute megakaryoblastic leukaemia). Those over the age of 5 with this presentation typically have ALL.",Incorrect. This is the finding for multiple myeloma. This typically presents in older adults and not children.,"Incorrect. This is the finding for myelofibrosis. This typically presents in older adults, not children.",2
76,active,15/01/2022,Neurology ,"305,306,307",a,<p> A 59 year old man is brought into A&E by his wife for progressive bilateral weakness of his arms and legs. The man is able to speak however his speech is very slurred. His wife tells you that he was complaining of some tingling in his hands and feet before he started to experience this weakness. She says the weakness started initially in his legs however has now progressed to involve his arms over the last few days. </p> On examination the man is able to walk however has to rest after walking for 7m. He also becomes short of breath while doing this. Neurological examination reveals areflexia of his arms and legs.,What is the most likely diagnosis?,Stroke,Myasthenia gravis,Lambert-Eaton syndrome,Guillain-Barre syndrome,Miller Fisher syndrome,"A stroke is characterised by focal neurological weakness. Usually, this means symptoms are unilateral. Here, the bilateral weakness, as well as the ascending pattern of weakness makes Guillain-Barre syndrome much more likely.","Myasthenia gravis also presents with bilateral weakness, however ascending paralysis is not a feature. Instead, the weakness tends to be worsened with prolonged use and demonstrates fatigability. Also myasthenia gravis is an issue of the neuromuscular junction and as such should not have sensory features such as paresthesia of the distal extremities. The presence of paresthesias as well as ascending weakness makes GBS far more likely.","Lambert-Eaton syndrome is a paraneoplastic syndrome commonly associated with small cell lung carcinoma. Although this may also present with bilateral weakness, ascending paralysis is often not a feature. Furthermore, in LES, the weakness gets better with repeated use. Here, the presence of paresthesias as well as ascending weakness makes GBS far more likely.",Correct. The history of ascending bilateral paralysis is strongly associated with GBS. GBS commonly presents with distal paresthesias (and potentially back pain) initially before progressing to this paralysis. The most common form of GBS is acute inflammatory demyelinating polyneuro radiculopathy (AIDP) in which the peripheral nerves are attacked by auto-antibodies. As such motor and sensory symptoms may be present. Dampened reflexes or areflexia is also a common characteristic feature.,"Miller-Fisher syndrome is a variant of GBS which typically presents with the triad of opthalmoplegia, ataxia and areflexia. The pattern of weakness tends to be more descending then ascending weakness. Here the ascending weakness makes GBS more likely.",4
76,,,,"308,309",b,,"Given the most likely diagnosis, which of the following would you suspect in history?",Presence of other autoimmune diseases,Heavy smoking history,History of diarrhoea 3 weeks prior to the onset of symptoms,History of URTI symptoms 2 days prior to the symptoms,History of urinary tract infection 3 weeks prior to the onset of symptoms,GBS is most commonly seen following an upper respiratory tract or GI infection. Often features of the initial infection are not present as the symptoms present a week following the infection. It is not associated with other autoimmune diseases.,GBS is not associated with heavy smoking,Correct. GBS is most commonly seen following an upper respiratory tract or GI infection. Often features of the initial infection are not present as the symptoms present a week following the infection. It is not associated with other autoimmune diseases.,GBS is most commonly seen following an upper respiratory tract or GI infection. Often features of the initial infection are not present as the symptoms present a week (rather than days) following the infection. It is not associated with other autoimmune diseases.,GBS is most commonly seen following an upper respiratory tract or GI infection. Often features of the initial infection are not present as the symptoms present a week following the infection. It is not associated with other autoimmune diseases. Urinary tract infections are not associated with GBS.,3
76,,,,310,c,The patient describes a bad bout of diarrhoea 3 weeks prior to the onset of his symptoms.,Which of the following is most likely to be the causative organism for this man's symptoms?,E. Coli 0157 H7,Campylobacter jejuni,Non-typhi salmonella,Mycoplasma pneumoniae,Epstien Barr virus (EBV),"Although E. coli 0157 H7 may also cause diarrhoea, this tends to be more bloody. It is not associated with GBS and more commonly causes haemolytic uraemic syndrome in young kids.",Correct. Campylobacter jejuni is the most commonly associated bacterial species. Around 30% of cases of AIDP (most common form of GBS) is caused by campylobacter jejuni infections. As such serology and stool cultures are often performed to isolate this species.,"Although non-typhi salmonella can also cause these GI symptoms, this is not commonly associated with GBS. Around 30% of cases of AIDP (most common form of GBS) is caused by campylobacter jejuni infections. As such serology and stool cultures are often performed to isolate this species.","Although mycoplasma pneumonia is associated with GBS it only accounts for 5% of cases. Furthermore, mycoplasma infections cause respiratory rather than GI symptoms.","Althoguh EBV is commonly associated with GBS, it does not lead to symptoms of GI upset. It most commonly causes tonsillitis.",2
76,,,,311,d,A diagnosis of Guillain-Barre syndrome is suspected. The doctor orders stool cultures as well as nerve conduction studies.,Which of the following should also be performed urgently?,Bedside spirometry,Urine dipstick,Chest X-ray,Sigmoidoscopy,Peak flow,Correct. One of the most serious complications of GBS is respiratory depression. Infact around 20-30% of patients with GBS will experience respiratory depression across the length of their disease. As such bedside spirometry and monitoring of FVC is vital to assess respiratory function and recognise early need for mechanical ventilation.,"A urine dip here is not indicated as the patient does not complain of dysuria, pyrexia or trouble passing urine. One of the most serious complications of GBS is respiratory depression. Infact around 20-30% of patients with GBS will experience respiratory depression across the length of their disease. As such bedside spirometry and monitoring of FVC is vital to assess respiratory function and recognise early need for mechanical ventilation.","The patient does not have any specific features here (dyspnea, cough, chest pain) which would warrant a CXR. Instead serial FVCs via bedside spirometry should be used to monitor and assess need for mechanical ventilation as a result of respiratory depression.","Although the patient does have a history of GI upset 3 weeks ago, most likely caused by campylobacter, a sigmoidoscopy is not indicated here. This is because the symptoms have fully resolved, and serology as well as stool culture is a better way to detect the presence of campylobacter.",One of the most serious complications of GBS is respiratory depression. Infact around 20-30% of patients with GBS will experience respiratory depression across the length of their disease. As such bedside spirometry and monitoring of FVC (rather than FEV1) is vital to assess respiratory function and recognise early need for mechanical ventilation.,1
76,,,,312,e,"A lying and standing blood pressure is also recorded which demonstrates postural hypotension. A bedside ECG which demonstrates second degree AV block, Mobitz II. His previous ECG in the medical notes were completely normal.","In light of these findings, which of the following may also be observed?",Dysuria,Urinary retention,Weakness which worsens with use,Weakness which is relieved with use,Altered taste,The features described above are consistent with autonomic nervous system involvement. This may also affect the bladder leading to incontinence or retention. However dysuria is not a feature as this suggests an infection of the urinary tract.,Correct. The features described above are consistent with autonomic nervous system involvement. This may also affect the bladder leading to incontinence or retention.,"The features described above are consistent with autonomic nervous system involvement. Other features of autonomic involvement may include diarrhoea, labile blood pressure or bowel dysfunction. Weakness worsening with use is more of a feature seen in myasthenia gravis.","The features described above are consistent with autonomic nervous system involvement. Other features of autonomic involvement may include diarrhoea, labile blood pressure or bowel dysfunction. Weakness improving with use is more of a feature seen in Lambert-Eaton syndrome","The features described above are consistent with autonomic nervous system involvement. Other features of autonomic involvement may include diarrhoea, labile blood pressure or bowel dysfunction. Altered taste is not a feature as taste is controlled by the facial nerve (anterior ⅔ of the tongue) and glossopharyngeal nerve (posterior ⅓ of the tongue), not the autonomic nervous system.",2
76,,,,313,f,His spirometry readings show an FVC of 16ml/kg.,"Along with his previous observations, what is the next stage in his management?","Discharge with advise, adequate analgesia and good nutrition",Admit to the respiratory ward with repeated FVC monitoring,Immediate discussion and consideration for ITU support,Assessment for non invasive ventilation on the ward,Admit to the ward for continuous positive-airway pressure treatment,The patient has autonomic dysfunction as well as features of respiratory depression (FVC <20ml/Kg). As such he needs ITU input to assess him for mechanical ventilation.,The patient has autonomic dysfunction as well as features of respiratory depression (FVC <20ml/Kg). As such he needs ITU input to assess him for mechanical ventilation. He will also likely need other forms of monitoring which can best be provided by ITU.,Correct. The patient has autonomic dysfunction as well as features of respiratory depression (FVC <20ml/Kg). As such he needs ITU input to assess him for mechanical ventilation. ITU will also have the facilities required to monitor him more closely.,Patients with GBS and respiratory depression often need mechanical rather than non-invasive ventilation.,The patient has autonomic dysfunction as well as features of respiratory depression (FVC <20ml/Kg). As such he needs ITU input to assess him for mechanical ventilation. CPAP refers to continuous positive airway pressure where air is continuously blown via a mask down the patient’s nose and mouth. It is excellent for keeping airways open in conditions such as obstructive sleep apnoea or forcing fluid out of the alveoli (e.g. in pulmonary oedema). It is not used in GBS.,3
76,,,,314,g,A decision is made to admit him to the ICU for ventilatory support.,Which of the following is unlikely to form part of his management?,Cardiac monitoring,SC heparin,Catheterisation,Haemodialysis,Pain relief for neuropathic pain,The patient has autonomic dysfunction as well as new onset Mobitz-type II. As such he will need continuous cardiac monitoring in the ICU to observe for cardiac arrhythmias.,The patient is unable to walk <10m and as such is bedbound. This immobility increases his risk of thromboembolic events and as such he requires thromboprophylaxis.,The patient has autonomic dysfunction which may lead to urinary retention. As such he may need a urinary catheter to void the bladder.,"Correct. Plasma exchange, rather than hemodialysis, is used in the management of GBS.",Many patients with GBS experience neuropathic pain and as such require adequate pain relief.,4
76,,,,319,h,,Which of the following options should be used to treat this patient’s condition?,High dose IV methyl-prednisolone,IV pyridostigmine,High dose oral prednisolone,IV azithromycin,IV immunoglobulins,"Corticosteroids do not play a role in the management of GBS. Since this patient has features of respiratory depression, is unable to walk alone and labile blood pressure, he will most likely be treated with IVIg or plasma exchange.","Pyridostigmine is an acetylcholinesterase inhibitor. It blocks the breakdown of acetylcholine at the synapses. PO pyridostigmine is used in the symptomatic management of stable myasthenia gravis, however it is not used in GBS. In this patient with mobitz type II as well as autonomic dysfunction, it may precipitate life threatening bradycardia and thus should be avoided.","Corticosteroids do not play a role in the management of GBS. Since this patient has features of respiratory depression, is unable to walk alone and labile blood pressure, he will most likely be treated with IVIg or plasma exchange.","Azithromycin is the treatment of choice for an ongoing campylobacter infection. However, most cases of GBS present well after the infection has subsided and as such, azithromycin is unlikely to provide any benefit here.","Correct. Since this patient has features of respiratory depression, is unable to walk alone and labile blood pressure, he will most likely be treated with IVIG or plasma exchange (the choice between them is often institution-dependent).",5
